COD_REPLICA,COD_MUSICAL,DATA_REPLICA
R001,S001,2018-10-05
R002,S001,2018-10-06
R003,S001,2018-10-07
R004,S001,2018-10-08
R005,S001,2018-10-09
R006,S002,2018-11-12
R007,S002,2018-11-13
R008,S002,2018-11-14
R009,S002,2018-11-15
R010,S002,2018-11-16
R011,S003,2019-01-05
R012,S003,2019-01-06
R013,S003,2019-01-07
R014,S003,2019-01-08
R015,S003,2019-01-09
R016,S004,2019-01-12
R017,S004,2019-01-13
R018,S004,2019-01-14
R019,S004,2019-01-15
R020,S004,2019-01-16
R021,S005,2018-11-05
R022,S005,2018-11-06
R023,S005,2018-11-07
R024,S005,2018-11-18
R025,S005,2018-11-19
R026,S006,2018-12-12
R027,S006,2018-12-13
R028,S006,2018-12-14
R029,S006,2018-12-15
R030,S006,2018-12-16
